ZIP,date_coe,STREET_NO,STREET_DIR,STREET,STREET_TYP,unit_no,Prop_type
97202,01/31/2006,6901,SE,Oaks Park,WAY,24,Resid
97206,01/31/2006,7126,SE,STEELE,ST,NULL,Resid
97211,01/31/2006,4338,NE,34TH,NULL,NULL,Resid
97219,01/31/2006,8014,SW,62ND,PL,NULL,Resid
97229,01/31/2006,10201,NW,ALDER GROVE,LN,NULL,Resid
97266,01/31/2006,10605,SE,HAROLD,ST,NULL,Resid
97202,02/01/2006,7743,SE,MILWAUKIE,AVE,NULL,Resid
97230,02/01/2006,2025,NE,158TH,PL,NULL,Resid
97230,02/01/2006,14850,NE,THOMPSON,ST,NULL,Resid
97233,02/01/2006,19147,SE,Yamhill no. 24,NULL,24,Resid
97202,02/02/2006,3109,SE,BYBEE,BLVD,NULL,Resid
97211,02/02/2006,2104,NE,WYGANT,ST,NULL,Resid
97221,02/02/2006,6428,SW,35TH (quiet/private),AVE,NULL,Resid
97203,02/03/2006,8923,N,WILLAMETTE,BLVD,NULL,Resid
97211,02/03/2006,1216,NE,WEBSTER,ST,NULL,Resid
97216,02/03/2006,9111,SE,OAK,ST,NULL,Resid
97060,02/05/2006,23200,NE,SANDY,BLVD,54,Resid
97030,02/06/2006,2542,NW,1ST LOT 71,DR,71,Resid
97080,02/06/2006,4248,SE,AUGUSTA,WAY,NULL,Resid
97213,02/06/2006,5125,NE,DAVIS,ST,NULL,Resid
97217,02/06/2006,2930,N,HOLMAN,ST,NULL,Resid
97201,02/08/2006,1500,SW,Park No. 408,AVE,408,Resid
97202,02/08/2006,3968,SE,MALL,ST,NULL,Resid
97211,02/08/2006,512,NE,MARINERS,LOOP,NULL,Resid
97212,02/08/2006,602,NE,COOK,ST,NULL,Resid
97219,02/08/2006,9351,SW,12TH,DR,NULL,Resid
97219,02/08/2006,7334,SW,27TH,AVE,NULL,Resid
97209,02/09/2006,1025,NW,Couch,ST,918,Resid
97210,02/09/2006,2164,NW,ASPEN,AVE,NULL,Resid
97221,02/09/2006,4120,SW,53RD,AVE,NULL,Resid
97217,02/10/2006,4668,N,CAMPBELL,AVE,NULL,Resid
97219,02/10/2006,825,SW,Stephenson,CT,NULL,Resid
97230,02/10/2006,18525,NE,MARINE,DR,NULL,Resid
97233,02/10/2006,12815,SE,STARK,ST,NULL,Resid
97236,02/10/2006,2737,SE,145TH,AVE,NULL,Resid
97266,02/10/2006,3928,SE,99th,AVE,NULL,Resid
97266,02/10/2006,8433,SE,CLATSOP,ST,NULL,Resid
97030,02/13/2006,1812,NE,19TH,ST,NULL,Resid
97210,02/13/2006,232,NW,UPTOWN,TER,3A,Resid
97239,02/13/2006,4970,SW,LANDING,DR,201,Resid
97030,02/14/2006,2315,NE,ELLIOTT,AVE,NULL,Resid
97210,02/14/2006,2450,NW,RALEIGH,ST,NULL,Resid
97212,02/14/2006,2546,NE,17TH,AVE,NULL,Resid
97212,02/14/2006,16,NE,SHAVER,ST,NULL,Comm
97214,02/14/2006,3032,SE,CARUTHERS,ST,NULL,Resid
97216,02/14/2006,9045,SE,ASH,ST,NULL,Resid
97221,02/14/2006,3653,SW,Dosch,CT,NULL,Resid
97080,02/15/2006,2730,SW,28TH,CT,NULL,Resid
97209,02/15/2006,1811,NW,Couch,NULL,507,Resid
97215,02/15/2006,2204,SE,55TH,AVE,NULL,Resid
97232,02/15/2006,1436,NE,21st,AVE,26,Resid
97233,02/15/2006,12325,SE,MAIN,ST,NULL,Resid
97266,02/15/2006,3203,SE,109TH,AVE,NULL,Resid
97266,02/15/2006,6631,SE,85TH,AVE,NULL,Resid
97213,02/16/2006,434,NE,69TH,AVE,NULL,Resid
97236,02/16/2006,15833,SE,BYBEE,DR,NULL,Resid
97024,02/17/2006,3507,NE,FAIRVIEW LAKE,CT,NULL,Resid
97024,02/17/2006,20393,NE,TYLER,LN,NULL,Resid
97213,02/17/2006,1633,NE,77TH,AVE,NULL,Resid
97215,02/17/2006,1925,SE,76,NULL,NULL,Resid
97215,02/17/2006,121,SE,53RD,AVE,NULL,Resid
97216,02/17/2006,8921,SE,WASHINGTON,ST,NULL,Resid
97219,02/17/2006,4706,SW,Garden Home,RD,NULL,Resid
97202,02/18/2006,4129,SE,Division,ST,NULL,Comm
97019,02/21/2006,3011,NE,RASMUSSEN,RD,NULL,Resid
97203,02/21/2006,7212,N,PORTSMOUTH,AVE,NULL,Resid
97215,02/21/2006,4340,SE,MADISON,ST,NULL,Resid
97236,02/21/2006,13740,SE,Center,ST,NULL,Resid
97060,02/22/2006,773,SW,CRESTVIEW,WAY,65,Resid
97202,02/22/2006,4008,SE,RAMONA,ST,NULL,Resid
97211,02/22/2006,4705,NE,11TH,AVE,NULL,Resid
97217,02/22/2006,8844,N,PENINSULAR,AVE,NULL,Resid
97219,02/22/2006,7740,SW,HUNT CLUB,PL,NULL,Resid
97220,02/22/2006,8925,NE,SANDY,BLVD,NULL,Resid
97206,02/23/2006,2716,SE,75TH,AVE,NULL,Resid
97206,02/23/2006,5406,SE,BYBEE,BLVD,NULL,Resid
97212,02/23/2006,2211,NE,17th,ST,NULL,Resid
97215,02/23/2006,7712,SE,ALDER,ST,NULL,Resid
97221,02/23/2006,3925,SW,43RD,AVE,NULL,Resid
97266,02/23/2006,8637,SE,MALDEN,CT,NULL,Resid
97201,02/24/2006,2825,SW,UPPER,DR,NULL,Resid
97201,02/24/2006,1807,SW,Vista,NULL,NULL,Resid
97202,02/24/2006,1415,SE,FLAVEL,ST,NULL,Resid
97206,02/24/2006,4603,SE,52ND,AVE,NULL,Resid
97206,02/24/2006,4934,SE,GLADSTONE,ST,NULL,Resid
97206,02/24/2006,6115,SE,LEXINGTON,ST,NULL,Resid
97211,02/24/2006,5947,NE,14TH,AVE,NULL,Resid
97219,02/24/2006,12141,SW,60TH,AVE,NULL,Resid
97220,02/24/2006,4534,NE,95TH,AVE,NULL,Resid
97227,02/24/2006,3623,N,KERBY,AVE,NULL,Resid
97212,02/27/2006,2203,NE,17th,ST,NULL,Resid
97217,02/27/2006,7052,N,VILLARD,AVE,NULL,Resid
97236,02/27/2006,17732,SE,MARIE Gresham/Portla,ST,NULL,Resid
97236,02/27/2006,17732,SE,MARIE Gresham/Portla,ST,NULL,Resid
97080,02/28/2006,3251,SW,Wonderview (1- 2811),AVE,NULL,Resid
97124,02/28/2006,17013,NW,JOHNSON,RD,NULL,Resid
97206,02/28/2006,7430,SE,KNIGHT,ST,NULL,Resid
97211,02/28/2006,4906,NE,22ND,AVE,NULL,Resid
97211,02/28/2006,6106,NE,9TH,AVE,NULL,Resid
97214,02/28/2006,1574,SE,POPLAR,AVE,NULL,Resid
97214,02/28/2006,1435,SE,SALMON,ST,NULL,Resid
97215,02/28/2006,1029,SE,44TH,AVE,NULL,Resid
97219,02/28/2006,4608,SW,VACUNA,ST,NULL,Resid
97230,02/28/2006,1006,NE,131ST,PL,NULL,Resid
97230,02/28/2006,205,NE,188TH,AVE,NULL,Resid
97266,02/28/2006,4910,SE,109TH,AVE,NULL,Resid
97266,02/28/2006,4918,SE,109TH,AVE,NULL,Resid
97060,03/01/2006,1000,SW,EDGEFIELD,AVE,NULL,Resid
97060,03/01/2006,23156,NE,HALSEY,ST,1,Resid
97206,03/01/2006,5015,SE,77TH,AVE,NULL,Resid
97206,03/01/2006,5023,SE,77TH,AVE,NULL,Resid
97209,03/01/2006,1030,NW,JOHNSON,ST,613,Resid
97211,03/01/2006,3911,NE,"Killingsworth, 4",ST,4,Resid
97203,03/02/2006,4759,N,AMHERST,ST,NULL,Resid
97206,03/02/2006,2792,SE,81ST,AVE,NULL,Resid
97206,03/02/2006,4925,SE,HENRY (Fixer),ST,NULL,Resid
97213,03/02/2006,4438,NE,ALAMEDA,ST,NULL,Resid
97233,03/02/2006,1327,SE,182 ND,AVE,NULL,Resid
97024,03/03/2006,1495,NE,VILLAGE,ST,NULL,Resid
97024,03/03/2006,1495,NE,VILLAGE,ST,NULL,Comm
97202,03/03/2006,1747,SE,MARION,ST,NULL,Resid
97209,03/03/2006,1410,NW,Kearney,ST,1110,Resid
97214,03/03/2006,2316,SE,38TH,AVE,NULL,Resid
97227,03/03/2006,267,N,ivy,NULL,NULL,Resid
97229,03/03/2006,2139,NW,CEDAR VIEW,LN,NULL,Resid
97239,03/03/2006,5600,SW,CORBETT,AVE,NULL,Resid
97266,03/03/2006,3405,SE,89TH,AVE,NULL,Resid
97206,03/06/2006,5304,SE,62ND,AVE,NULL,Resid
97219,03/06/2006,8950,SW,TERWILLIGER,BLVD,NULL,Resid
97229,03/06/2006,4055,NW,TWILIGHT,TER,NULL,Resid
97239,03/06/2006,3306,SW,FAIRMOUNT,BLVD,NULL,Resid
97266,03/06/2006,3347,SE,115TH,AVE,NULL,Resid
97213,03/07/2006,3831,NE,74TH,AVE,NULL,Resid
97216,03/07/2006,8308,SE,HAWTHORNE,BLVD,NULL,Resid
97216,03/07/2006,11039,SE,MILL,CT,NULL,Resid
97221,03/07/2006,6628,SW,35TH,AVE,NULL,Resid
97266,03/07/2006,2615,SE,109TH,AVE,NULL,Resid
97206,03/08/2006,4927,SE,60TH,AVE,NULL,Resid
97206,03/08/2006,6236,SE,DUKE,ST,NULL,Resid
97212,03/08/2006,3727,NE,12TH,AVE,NULL,Resid
97213,03/08/2006,5111,NE,HALSEY,ST,NULL,Resid
97229,03/08/2006,2306,NW,EDGEWOOD,PL,NULL,Resid
97230,03/08/2006,16901,NE,HALSEY,ST,NULL,Resid
97236,03/08/2006,2934,SE,145TH,AVE,NULL,Resid
97202,03/09/2006,1005,SE,LAMBERT,ST,NULL,Resid
97206,03/09/2006,4914,SE,GLADSTONE,ST,NULL,Resid
97220,03/09/2006,207,NE,104TH,AVE,NULL,Resid
97221,03/09/2006,5510,SW,ILLINOIS,ST,NULL,Resid
97236,03/09/2006,12608,SE,CLINTON,CT,NULL,Resid
97060,03/10/2006,30611,SE,DIVISION,DR,NULL,Resid
97060,03/10/2006,31515,SE,DIVISION,DR,NULL,Resid
97202,03/10/2006,3010,SE,BERKELEY,PL,NULL,Resid
97202,03/10/2006,3009,SE,KELLY,ST,NULL,Resid
97206,03/10/2006,4319,SE,50TH,AVE,NULL,Resid
97209,03/10/2006,821,NW,11TH,AVE,409,Resid
97213,03/10/2006,3323,NE,70TH,AVE,NULL,Resid
97214,03/10/2006,1910,SE,11TH,AVE,NULL,Comm
97216,03/10/2006,2037,SE,102ND,AVE,NULL,Resid
97217,03/10/2006,2325,N,WILLAMETTE,BLVD,NULL,Resid
97229,03/10/2006,4038,NW,McGrath,CT,NULL,Resid
97232,03/10/2006,1617,NE,COUCH,ST,NULL,Resid
97233,03/10/2006,20,SE,172nd,NULL,101,Resid
97201,03/13/2006,1730,SW,HARBOR,WAY,602,Resid
97214,03/13/2006,3504,SE,TAYLOR,ST,NULL,Resid
97218,03/13/2006,5033,NE,AINSWORTH,CT,NULL,Resid
97219,03/13/2006,11340,SW,45TH,AVE,NULL,Resid
97219,03/13/2006,1451,SW,TAYLORS FERRY,RD,NULL,Resid
97080,03/14/2006,3027,SE,27TH,CT,NULL,Resid
97206,03/14/2006,3021,SE,57TH,AVE,NULL,Resid
97206,03/14/2006,4244,SE,LIEBE,ST,NULL,Resid
97030,03/15/2006,2178,NE,38TH,DR,NULL,Resid
97201,03/15/2006,1601,SW,ELIZABETH,ST,NULL,Resid
97206,03/15/2006,7445,SE,71ST,AVE,NULL,Resid
97209,03/15/2006,1133,NW,11TH,AVE,511,Resid
97212,03/15/2006,3926,NE,38TH,AVE,NULL,Resid
97212,03/15/2006,3124,NE,FREMONT,ST,NULL,Resid
97220,03/15/2006,8934,NE,WYGANT,ST,NULL,Resid
97233,03/15/2006,2151,SE,135TH,AVE,NULL,Resid
97236,03/15/2006,6302,SE,128TH,AVE,NULL,Comm
97236,03/15/2006,6302,SE,128TH,AVE,NULL,Resid
97206,03/16/2006,5030,SE,REEDWAY,ST,NULL,Resid
97035,03/17/2006,2,NULL,EAGLE CREST,DR,NULL,Resid
97206,03/17/2006,4017,SE,54TH,AVE,NULL,Resid
97212,03/17/2006,3335,NE,20TH,AVE,NULL,Resid
97230,03/17/2006,1524,NE,128TH,AVE,NULL,Resid
97230,03/17/2006,3343,NE,133RD,AVE,NULL,Resid
97230,03/17/2006,17450,NE,GLISAN,ST,#6,Resid
97239,03/17/2006,6021,SW,HOOD,AVE,NULL,Resid
97030,03/20/2006,75,NW,PHYLLIS,CT,NULL,Resid
97211,03/20/2006,4333,NE,32ND,AVE,NULL,Resid
97212,03/20/2006,57,NE,FREMONT,ST,NULL,Resid
97221,03/20/2006,4545,SW,PENDLETON,ST,NULL,Resid
97211,03/21/2006,5040,NE,8TH,AVE,1,Resid
97215,03/21/2006,136,SE,74TH,AVE,NULL,Resid
97217,03/21/2006,7334,N,VANCOUVER,AVE,NULL,Resid
97266,03/21/2006,2845,SE,89TH,AVE,NULL,Resid
97060,03/22/2006,2737,SE,EVANS,AVE,NULL,Resid
97202,03/22/2006,3416,SE,WOODWARD,ST,NULL,Resid
97212,03/22/2006,3125,NE,SCHUYLER,ST,NULL,Resid
97213,03/22/2006,4621,NE,OREGON,ST,NULL,Resid
97220,03/22/2006,8504,NE,GLISAN,ST,NULL,Resid
97080,03/23/2006,471,SW,4TH,ST,NULL,Resid
97206,03/23/2006,3727,SE,63RD,AVE,NULL,Resid
97211,03/23/2006,173,NE,BRIDGETON,RD,21,Resid
97266,03/23/2006,6423,SE,94TH,AVE,NULL,Resid
97266,03/23/2006,9715,SE,HOLGATE,BLVD,NULL,Resid
97030,03/24/2006,210,NE,5TH,ST,NULL,Resid
97035,03/24/2006,295,NULL,CERVANTES,NULL,NULL,Resid
97206,03/24/2006,6416,SE,MITCHELL,ST,NULL,Resid
97211,03/24/2006,4903,NE,31ST,AVE,NULL,Resid
97217,03/24/2006,2637,N,KILLINGSWORTH,ST,NULL,Resid
97229,03/24/2006,10226,NW,WILSHIRE,LN,NULL,Resid
97030,03/27/2006,900,NE,FRANCIS,AVE,38,Resid
97030,03/27/2006,220,NE,VILLAGE SQUIRE,AVE,3,Resid
97203,03/27/2006,4777,N,DREW,ST,NULL,Resid
97214,03/27/2006,2129,SE,39TH,AVE,NULL,Resid
97221,03/27/2006,5150,SW,HAMILTON,ST,NULL,Resid
97229,03/27/2006,9809,NW,SILVER RIDGE,LOOP,NULL,Resid
97266,03/27/2006,2809,SE,119TH  (BOM),AVE,NULL,Resid
97080,03/28/2006,656,SE,38TH,DR,NULL,Resid
97080,03/28/2006,394,SE,46TH,DR,NULL,Resid
97216,03/28/2006,11730,SE,SALMON,ST,NULL,Resid
97221,03/28/2006,6417,SW,FLOWER,ST,NULL,Resid
97230,03/28/2006,1919,NE,142ND,AVE,NULL,Resid
97203,03/29/2006,4306,N,Willis,NULL,NULL,Resid
97209,03/29/2006,1133,NW,11th Ave. 709,AVE,709,Resid
97211,03/29/2006,5014,NE,25TH,AVE,NULL,Resid
97211,03/29/2006,5031,NE,29TH,AVE,NULL,Resid
97217,03/29/2006,3315,N,TERRY,ST,NULL,Resid
97219,03/29/2006,4621,SW,MAPLEWOOD,RD,NULL,Resid
97220,03/29/2006,4615,NE,98TH,AVE,NULL,Resid
97030,03/30/2006,3940,SE,182ND,AVE,NULL,Resid
97206,03/30/2006,5405,SE,FLAVEL,ST,NULL,Resid
97217,03/30/2006,7017,N,HAIGHT,AVE,NULL,Resid
97217,03/30/2006,1111,N,WINCHELL,ST,NULL,Resid
97219,03/30/2006,5845,SW,VERMONT,ST,NULL,Resid
97231,03/30/2006,10462,NW,2ND,ST,NULL,Resid
97030,03/31/2006,1435,NW,1ST,ST,NULL,Resid
97080,03/31/2006,200,SW,FLORENCE,AVE,I-10,Resid
97206,03/31/2006,2609,SE,52nd,NULL,NULL,Resid
97217,03/31/2006,2926,N,TERRY,ST,NULL,Resid
97220,03/31/2006,3623,NE,116TH,AVE,NULL,Resid
97266,03/31/2006,3036,SE,89TH,AVE,NULL,Resid
97024,04/03/2006,4119,NE,218,ST,NULL,Resid
97024,04/03/2006,3097,NE,ALBUS,CT,NULL,Resid
97205,04/04/2006,1005,SW,PARK,AVE,702,Resid
97211,04/04/2006,4720,NE,26TH,AVE,NULL,Resid
97221,04/04/2006,4821,SW,ADMIRAL,ST,NULL,Resid
97024,04/05/2006,20637,NE,SANDY,BLVD,33,Resid
97080,04/05/2006,155,SW,14TH,ST,NULL,Resid
97202,04/05/2006,7870,SE,13TH,AVE,201,Resid
97203,04/05/2006,9614,N,CLARENDON,AVE,NULL,Resid
97219,04/05/2006,8807,SW,CAPITOL,HWY,NULL,Resid
97060,04/06/2006,946,SW,FOX,PL,49,Resid
97220,04/06/2006,1006,NE,114TH,AVE,NULL,Resid
97230,04/06/2006,2302,NE,150TH,AVE,NULL,Resid
97239,04/06/2006,4738,SW,VIEW POINT,TER,NULL,Resid
97201,04/07/2006,2107,SW,MARKET STREET,DR,NULL,Resid
97203,04/07/2006,8518,N,ALLEGHENY,AVE,NULL,Resid
97203,04/07/2006,7070,N,CAMBRIDGE,AVE,NULL,Resid
97205,04/07/2006,2336,SW,OSAGE,ST,406,Resid
97211,04/07/2006,4928,NE,11TH,AVE,NULL,Resid
97211,04/07/2006,4618,NE,29TH,AVE,NULL,Resid
97211,04/07/2006,5131,NE,35TH,PL,NULL,Resid
97236,04/07/2006,13947,SE,ELLIS,ST,NULL,Resid
97239,04/07/2006,1224,SW,HESSLER,DR,NULL,Resid
97239,04/07/2006,5429,SW,VIEW POINT,TER,NULL,Resid
97266,04/07/2006,8816,SE,LAFAYETTE,ST,NULL,Resid
97060,04/10/2006,102,NE,BIRCH,AVE,NULL,Comm
97203,04/10/2006,6263,N,BANK,ST,NULL,Resid
97233,04/10/2006,17211,SE,GRANT,ST,NULL,Resid
97218,04/11/2006,5219,NE,60TH,AVE,NULL,Resid
97220,04/11/2006,3007,NE,92ND,AVE,NULL,Resid
97225,04/11/2006,2677,SW,64TH,PL,NULL,Resid
97230,04/11/2006,2312,NE,156TH,PL,NULL,Resid
97266,04/11/2006,3254,SE,111TH,AVE,NULL,Resid
97202,04/12/2006,8535,SE,16TH,AVE,NULL,Resid
97206,04/12/2006,6215,SE,49TH,AVE,NULL,Resid
97206,04/12/2006,6037,SE,FRANCIS,ST,NULL,Resid
97206,04/12/2006,7836,SE,LAMBERT,ST,NULL,Resid
97215,04/12/2006,436,SE,44TH,AVE,NULL,Resid
97216,04/12/2006,235,SE,94TH,AVE,NULL,Resid
97217,04/12/2006,6804,N,VANCOUVER,AVE,NULL,Resid
97266,04/12/2006,6212,SE,90TH,AVE,NULL,Resid
97024,04/13/2006,21270,NE,PATRICIA,LN,NULL,Resid
97030,04/13/2006,3915,SW,4TH,ST,NULL,Resid
97030,04/14/2006,1620,NW,16TH,ST,NULL,Resid
97030,04/14/2006,1805,NE,19TH,ST,NULL,Resid
97203,04/14/2006,7015,N,AMHERST,ST,NULL,Resid
97203,04/14/2006,8015,N,PORTSMOUTH,AVE,NULL,Resid
97204,04/14/2006,1209,SW,6TH,AVE,701,Resid
97206,04/14/2006,6229,SE,48TH,AVE,NULL,Resid
97206,04/14/2006,5602,SE,SCHILLER,ST,NULL,Resid
97209,04/14/2006,1410,NW,KEARNEY,ST,725,Resid
97210,04/14/2006,544,NW,MARLBOROUGH,AVE,NULL,Resid
97212,04/14/2006,2239,NE,19TH,AVE,NULL,Resid
97219,04/14/2006,7828,SW,CAPITOL HILL,RD,NULL,Resid
97230,04/14/2006,17216,NE,IRVING,ST,NULL,Resid
97231,04/14/2006,9750,NW,SKYLINE,BLVD,NULL,Resid
97266,04/14/2006,8505,SE,DUKE,ST,NULL,Resid
97203,04/17/2006,9426,N,WILLAMETTE,BLVD,NULL,Resid
97205,04/17/2006,1005,SW,PARK,AVE,505,Resid
97211,04/17/2006,4419,NE,CLEVELAND,AVE,NULL,Resid
97217,04/17/2006,2426,N,SUMNER,ST,NULL,Resid
97211,04/18/2006,4834,NE,17TH,AVE,NULL,Resid
97215,04/18/2006,1510,SE,74TH,AVE,NULL,Resid
97236,04/18/2006,13204,SE,CORA,ST,NULL,Resid
97202,04/19/2006,4451,SE,29TH,AVE,NULL,Resid
97204,04/19/2006,1209,SW,6TH,AVE,903,Resid
97215,04/20/2006,5511,SE,OAK,ST,NULL,Resid
97215,04/20/2006,7924,SE,Salmon,ST,NULL,Resid
97219,04/20/2006,10810,SW,26TH,AVE,NULL,Resid
97236,04/20/2006,8307,SE,BARBARA WELCH,RD,NULL,Resid
97266,04/20/2006,8749,SE,HENDERSON,ST,NULL,Resid
97080,04/21/2006,2905,SE,PALMQUIST,RD,5,Resid
97211,04/21/2006,4227,NE,6TH,AVE,NULL,Resid
97218,04/21/2006,6235,NE,ALBERTA,ST,NULL,Resid
97219,04/21/2006,8605,SW,TERWILLIGER,BLVD,NULL,Comm
97221,04/21/2006,3641,SW,52ND,PL,NULL,Resid
97236,04/21/2006,17032,SE,MCKINLEY,RD,NULL,Resid
97266,04/21/2006,3655,SE,91ST,AVE,NULL,Resid
97236,04/24/2006,12515,SE,MALL,ST,NULL,Resid
97266,04/24/2006,10309,SE,REX,ST,NULL,Resid
97202,04/25/2006,2314,SE,WOODWARD,ST,NULL,Resid
97206,04/25/2006,3108,SE,50TH,AVE,NULL,Comm
97217,04/25/2006,3437,N,WILLAMETTE,BLVD,NULL,Resid
97202,04/26/2006,7929,SE,34TH,AVE,NULL,Resid
97213,04/26/2006,2451,NE,51ST,AVE,NULL,Resid
97216,04/26/2006,11515,SE,SHERMAN,CT,NULL,Resid
97217,04/26/2006,1813,N,Jantzen,AVE,NULL,Resid
97239,04/26/2006,4149,SW,WASHOUGA,AVE,NULL,Resid
97201,04/27/2006,1535,SW,Clay,ST,131,Resid
97203,04/27/2006,7605,N,VAN HOUTEN,AVE,NULL,Resid
97211,04/27/2006,4111,NE,41ST,AVE,NULL,Resid
97213,04/27/2006,1025,NE,80TH,AVE,NULL,Resid
97214,04/27/2006,3644,SE,BELMONT,ST,NULL,Resid
97030,04/28/2006,238,NE,KANE,DR,NULL,Resid
97060,04/28/2006,102,NULL,ELM,AVE,NULL,Resid
97202,04/28/2006,4324,SE,30TH,AVE,NULL,Resid
97213,04/28/2006,125,NE,80TH,AVE,NULL,Resid
97213,04/28/2006,6756,NE,HANCOCK,ST,NULL,Resid
97214,04/28/2006,3723,SE,WASHINGTON,ST,NULL,Resid
